订单号,产品类别,产品名称,销售数量,单价,客户所在城市,支付方式,订单日期
1507651696,食品,坚果,4,387,深圳,微信支付,2025-06-23
4479750257,图书,教材,5,361,天津,现金,2025-06-22
7273709680,服装,帽子,7,213,上海,支付宝,2025-06-14
6122555505,食品,牛奶,8,79,青岛,银行卡,2025-06-03
9231065205,食品,海苔,4,314,深圳,银行卡,2025-06-18
3338082421,家居用品,台灯,4,250,武汉,银行卡,2025-06-04
2318577784,图书,杂志,7,328,上海,微信支付,2025-06-28
5477453946,食品,海苔,1,324,青岛,支付宝,2025-06-12
4406685819,食品,饼干,1,200,成都,银行卡,2025-06-27
3953002634,电子产品,鼠标,9,66,天津,现金,2025-06-12
8529000587,服装,帽子,6,125,合肥,支付宝,2025-06-12
4976679050,食品,牛奶,5,64,成都,支付宝,2025-06-20
9908224144,食品,巧克力,10,49,杭州,银行卡,2025-06-18
5373317269,家居用品,枕头,10,288,北京,银行卡,2025-06-21
1879535766,电子产品,鼠标,3,21,南京,微信支付,2025-06-23
6895640727,家居用品,毯子,3,11,青岛,银行卡,2025-06-17
7217279127,服装,外套,6,384,昆明,微信支付,2025-06-05
5670062230,图书,小说,6,256,北京,微信支付,2025-06-30
3411177629,服装,T恤,7,355,合肥,微信支付,2025-06-19
4982698142,食品,牛奶,7,104,重庆,银行卡,2025-06-09
6322735268,食品,坚果,4,293,福州,支付宝,2025-06-02
8082340012,电子产品,鼠标,3,253,郑州,支付宝,2025-06-19
6143516848,电子产品,蓝牙耳机,2,166,北京,支付宝,2025-06-14
9750237361,食品,饼干,4,230,福州,微信支付,2025-06-09
2945734839,电子产品,蓝牙耳机,8,194,合肥,微信支付,2025-06-10
6589677752,图书,绘本,2,300,天津,银行卡,2025-06-26
3925450939,图书,小说,9,187,青岛,现金,2025-06-14
7258153150,食品,饼干,7,386,北京,银行卡,2025-06-03
3988758718,家居用品,台灯,3,178,青岛,支付宝,2025-06-29
4297263298,电子产品,蓝牙耳机,1,126,合肥,银行卡,2025-06-24
7089336523,电子产品,智能音箱,8,378,武汉,银行卡,2025-06-18
3409479888,食品,牛奶,9,377,合肥,现金,2025-06-15
8833812689,食品,巧克力,1,135,青岛,微信支付,2025-06-06
3662262484,服装,T恤,3,352,昆明,微信支付,2025-06-26
6427009236,家居用品,台灯,1,290,福州,微信支付,2025-06-21
1032741079,家居用品,保温杯,10,337,杭州,微信支付,2025-06-06
3382294744,食品,海苔,2,128,杭州,现金,2025-06-18
9225478363,食品,巧克力,5,304,福州,支付宝,2025-06-09
7174377693,食品,海苔,7,154,深圳,微信支付,2025-06-20
6684270818,食品,饼干,3,248,杭州,银行卡,2025-06-05
9080479971,食品,坚果,5,24,武汉,现金,2025-06-17
2357029095,家居用品,收纳盒,9,18,昆明,现金,2025-06-14
4363659497,服装,运动鞋,2,1,成都,微信支付,2025-06-29
9761698026,食品,牛奶,1,328,郑州,支付宝,2025-06-12
9521193195,食品,坚果,2,303,郑州,银行卡,2025-06-01
8833560815,图书,杂志,7,307,合肥,现金,2025-06-11
7584588016,家居用品,保温杯,10,277,深圳,现金,2025-06-27
1292505331,食品,巧克力,6,258,青岛,支付宝,2025-06-28
2444351735,服装,帽子,10,110,广州,现金,2025-06-27
4292870392,电子产品,电动牙刷,8,179,青岛,现金,2025-06-14
5283293433,电子产品,蓝牙耳机,10,125,北京,支付宝,2025-06-14
7320387833,图书,小说,3,34,天津,银行卡,2025-06-12
1419536632,电子产品,充电宝,6,175,上海,银行卡,2025-06-15
9195426044,食品,饼干,6,198,杭州,微信支付,2025-06-30
1807726850,图书,杂志,7,380,上海,银行卡,2025-06-19
6636685573,家居用品,枕头,7,189,上海,微信支付,2025-06-13
7562703111,食品,坚果,4,282,深圳,微信支付,2025-06-26
9582975246,图书,教材,3,294,南京,微信支付,2025-06-11
1780379919,食品,牛奶,6,47,上海,微信支付,2025-06-03
1181354256,服装,牛仔裤,2,146,昆明,微信支付,2025-06-04
3027714320,图书,漫画,1,347,深圳,支付宝,2025-06-28
6043814170,图书,小说,10,22,南京,支付宝,2025-06-11
9667053853,服装,运动鞋,1,386,广州,银行卡,2025-06-24
6549365024,家居用品,枕头,6,286,武汉,微信支付,2025-06-24
7178580257,食品,饼干,3,179,青岛,微信支付,2025-06-02
3204561187,食品,牛奶,9,357,上海,微信支付,2025-06-05
7464126755,图书,绘本,1,130,深圳,支付宝,2025-06-04
1664340261,电子产品,充电宝,5,250,武汉,支付宝,2025-06-18
5745328422,家居用品,枕头,2,353,郑州,现金,2025-06-26
5838477610,电子产品,电动牙刷,8,75,郑州,支付宝,2025-06-17
3678994733,电子产品,电动牙刷,10,133,重庆,现金,2025-06-29
1335224623,图书,漫画,1,260,昆明,银行卡,2025-06-21
9126461747,电子产品,智能音箱,1,95,福州,支付宝,2025-06-23
5297066296,食品,巧克力,5,222,北京,微信支付,2025-06-30
2045849913,图书,小说,3,347,郑州,银行卡,2025-06-11
4028164410,图书,绘本,9,55,广州,微信支付,2025-06-02
8138352955,家居用品,毯子,9,381,南京,现金,2025-06-15
7101364539,图书,绘本,5,42,南京,现金,2025-06-17
9852905785,家居用品,枕头,1,172,青岛,支付宝,2025-06-20
3005792574,食品,海苔,8,255,郑州,支付宝,2025-06-16
2027637055,图书,小说,10,366,广州,支付宝,2025-06-26
1875556664,电子产品,蓝牙耳机,8,122,深圳,微信支付,2025-06-06
5135221057,服装,外套,3,330,深圳,现金,2025-06-06
1363372354,食品,巧克力,9,34,天津,微信支付,2025-06-07
4895295810,家居用品,毯子,4,34,青岛,微信支付,2025-06-18
8044038466,服装,帽子,8,10,青岛,现金,2025-06-23
7176040773,服装,牛仔裤,8,170,杭州,微信支付,2025-06-25
2505902405,图书,教材,7,386,青岛,微信支付,2025-06-01
3102505278,服装,帽子,4,67,上海,银行卡,2025-06-03
1178534215,图书,小说,6,250,天津,微信支付,2025-06-21
9255717193,图书,杂志,10,397,昆明,现金,2025-06-12
9335980365,服装,牛仔裤,8,195,天津,微信支付,2025-06-17
1298473294,服装,T恤,6,227,南京,支付宝,2025-06-02
1827580238,家居用品,保温杯,10,111,郑州,现金,2025-06-30
7437732174,服装,运动鞋,3,204,南京,银行卡,2025-06-22
9154984274,家居用品,枕头,6,221,天津,支付宝,2025-06-29
2203937109,图书,小说,5,290,上海,现金,2025-06-18
1055420760,家居用品,收纳盒,1,229,广州,支付宝,2025-06-30
9476665698,电子产品,电动牙刷,8,267,广州,银行卡,2025-06-30
4601188710,服装,T恤,3,69,深圳,现金,2025-06-29
1884840294,食品,海苔,2,86,深圳,银行卡,2025-06-22
6580549990,电子产品,电动牙刷,10,9,郑州,银行卡,2025-06-30
2244997481,家居用品,保温杯,6,293,深圳,银行卡,2025-06-10
9507111273,家居用品,毯子,5,84,杭州,银行卡,2025-06-19
8225206635,家居用品,台灯,7,163,武汉,银行卡,2025-06-03
4314050920,电子产品,蓝牙耳机,5,296,重庆,银行卡,2025-06-28
1931233649,家居用品,收纳盒,6,255,昆明,现金,2025-06-10
3238148468,家居用品,毯子,3,216,昆明,银行卡,2025-06-04
1790691701,图书,杂志,8,152,青岛,银行卡,2025-06-01
8811192696,电子产品,充电宝,7,143,郑州,现金,2025-06-23
1446027640,食品,海苔,9,182,广州,微信支付,2025-06-05
9261261178,家居用品,毯子,7,24,深圳,支付宝,2025-06-13
5859297660,图书,教材,7,353,昆明,支付宝,2025-06-07
2828159360,图书,绘本,1,264,天津,微信支付,2025-06-03
5787632001,图书,绘本,6,86,广州,现金,2025-06-03
4916935045,食品,巧克力,9,249,青岛,现金,2025-06-13
2306550149,家居用品,毯子,7,125,上海,现金,2025-06-07
9979799941,图书,杂志,3,173,成都,现金,2025-06-10
7004998024,图书,杂志,6,58,深圳,银行卡,2025-06-15
6445691274,食品,饼干,10,312,天津,微信支付,2025-06-21
8734591372,食品,饼干,6,399,上海,银行卡,2025-06-01
5642404239,食品,巧克力,5,83,成都,微信支付,2025-06-24
6579855762,图书,小说,10,342,武汉,现金,2025-06-06
8985690518,电子产品,蓝牙耳机,10,380,广州,微信支付,2025-06-21
7781996951,食品,饼干,6,136,成都,支付宝,2025-06-24
1510392216,服装,运动鞋,1,37,天津,银行卡,2025-06-24
7742773654,家居用品,枕头,3,156,成都,现金,2025-06-22
7068287386,家居用品,枕头,4,31,武汉,微信支付,2025-06-02
6656270747,家居用品,收纳盒,10,165,郑州,支付宝,2025-06-25
9045907870,家居用品,台灯,4,356,天津,银行卡,2025-06-17
1208662433,服装,运动鞋,1,89,重庆,银行卡,2025-06-25
2578237858,服装,T恤,9,124,重庆,支付宝,2025-06-29
1898899879,食品,牛奶,10,295,重庆,支付宝,2025-06-01
6085966250,食品,坚果,6,67,上海,微信支付,2025-06-22
9581347243,电子产品,充电宝,3,194,青岛,微信支付,2025-06-01
7741335986,家居用品,毯子,3,358,天津,微信支付,2025-06-27
2980137394,食品,饼干,9,95,福州,银行卡,2025-06-20
9094390205,服装,帽子,1,208,重庆,支付宝,2025-06-12
1371908542,服装,帽子,6,251,广州,现金,2025-06-07
7564734910,电子产品,智能音箱,7,125,福州,现金,2025-06-16
6483243456,电子产品,电动牙刷,2,350,北京,微信支付,2025-06-18
9610324414,食品,坚果,1,175,天津,现金,2025-06-13
3589988804,图书,小说,8,254,成都,银行卡,2025-06-04
5054251461,服装,外套,7,295,南京,银行卡,2025-06-02
9946612166,电子产品,智能音箱,10,226,重庆,银行卡,2025-06-09
7639142855,电子产品,智能音箱,6,160,重庆,支付宝,2025-06-09
7320265157,家居用品,台灯,10,20,郑州,现金,2025-06-05
6656326092,家居用品,台灯,10,80,南京,现金,2025-06-02
2767456717,图书,漫画,5,144,杭州,支付宝,2025-06-13
1489174990,电子产品,蓝牙耳机,10,152,重庆,支付宝,2025-06-12
6902544847,食品,坚果,7,74,昆明,现金,2025-06-29
2147510736,食品,海苔,4,365,昆明,支付宝,2025-06-07
5315199439,家居用品,台灯,8,264,合肥,支付宝,2025-06-22
1874018772,电子产品,充电宝,6,45,上海,支付宝,2025-06-14
4077803989,家居用品,毯子,3,376,昆明,支付宝,2025-06-24
8398416340,服装,牛仔裤,5,226,广州,银行卡,2025-06-04
5802594774,图书,漫画,6,268,天津,现金,2025-06-18
7248237014,食品,海苔,9,7,郑州,银行卡,2025-06-16
7611965910,电子产品,蓝牙耳机,9,251,广州,银行卡,2025-06-16
5887404506,食品,巧克力,5,134,杭州,微信支付,2025-06-04
9375973846,服装,帽子,9,5,杭州,支付宝,2025-06-16
5001615836,服装,T恤,1,207,南京,现金,2025-06-09
8752880084,图书,杂志,2,314,合肥,银行卡,2025-06-18
2464872928,服装,帽子,6,5,武汉,支付宝,2025-06-22
5404707302,食品,饼干,8,25,青岛,现金,2025-06-12
9996016102,家居用品,枕头,2,102,上海,现金,2025-06-12
3706403304,服装,帽子,4,96,深圳,微信支付,2025-06-03
5647067624,电子产品,电动牙刷,7,49,天津,支付宝,2025-06-15
1350515178,电子产品,充电宝,2,142,杭州,现金,2025-06-16
6052819448,家居用品,台灯,6,221,福州,银行卡,2025-06-06
4472562170,图书,绘本,1,303,天津,银行卡,2025-06-10
1565458939,家居用品,收纳盒,10,119,深圳,银行卡,2025-06-26
5901052412,电子产品,充电宝,6,8,北京,微信支付,2025-06-25
3095941629,家居用品,毯子,10,379,重庆,银行卡,2025-06-22
2878908926,电子产品,蓝牙耳机,2,114,成都,支付宝,2025-06-01
1634388479,电子产品,蓝牙耳机,6,283,武汉,微信支付,2025-06-25
6166178306,电子产品,电动牙刷,2,92,杭州,支付宝,2025-06-03
5379119619,食品,海苔,3,356,天津,现金,2025-06-14
4358199815,服装,T恤,1,5,天津,银行卡,2025-06-21
1344236042,食品,巧克力,2,13,南京,微信支付,2025-06-02
4285049355,图书,漫画,10,103,天津,现金,2025-06-05
3610886667,食品,牛奶,5,110,重庆,微信支付,2025-06-24
5080218127,电子产品,充电宝,7,12,重庆,银行卡,2025-06-20
8135354896,服装,帽子,7,396,成都,银行卡,2025-06-16
3615855121,食品,巧克力,8,277,天津,支付宝,2025-06-06
9163229712,电子产品,充电宝,6,35,天津,微信支付,2025-06-09
9033714193,家居用品,枕头,10,161,上海,现金,2025-06-12
6281974293,电子产品,充电宝,7,90,天津,支付宝,2025-06-27
7652610592,食品,坚果,8,117,天津,现金,2025-06-26
5064901154,食品,海苔,6,36,上海,支付宝,2025-06-23
4572617251,食品,巧克力,10,60,成都,支付宝,2025-06-03
1647297060,食品,牛奶,9,98,武汉,现金,2025-06-20
3844074020,家居用品,收纳盒,10,379,合肥,银行卡,2025-06-17
6083850790,电子产品,电动牙刷,9,71,郑州,现金,2025-06-05
8302492199,图书,杂志,10,110,郑州,微信支付,2025-06-05
8988045860,食品,坚果,1,190,天津,银行卡,2025-06-08
2947879468,服装,T恤,8,120,天津,支付宝,2025-06-29
6924425773,服装,外套,10,37,南京,现金,2025-06-11
6144160301,电子产品,鼠标,4,348,郑州,现金,2025-06-22
4944108079,服装,帽子,9,296,昆明,支付宝,2025-06-30
3750400560,服装,牛仔裤,4,331,上海,现金,2025-06-18
7242975794,图书,小说,9,57,南京,现金,2025-06-07
5681195573,图书,绘本,6,186,天津,微信支付,2025-06-24
9647438390,家居用品,台灯,7,81,天津,支付宝,2025-06-05
8100065845,服装,运动鞋,10,346,合肥,微信支付,2025-06-24
3838831162,家居用品,收纳盒,4,60,杭州,现金,2025-06-11
2573908543,家居用品,台灯,2,79,天津,现金,2025-06-14
9706588737,图书,漫画,5,291,深圳,现金,2025-06-30
8734206530,图书,小说,8,169,福州,银行卡,2025-06-22
1630124611,食品,牛奶,3,181,上海,微信支付,2025-06-12
4667832902,家居用品,保温杯,6,103,北京,支付宝,2025-06-20
6619869768,图书,杂志,7,363,重庆,支付宝,2025-06-07
1743956554,服装,T恤,1,390,成都,银行卡,2025-06-26
5094724172,电子产品,蓝牙耳机,1,31,昆明,银行卡,2025-06-18
4126554701,服装,T恤,4,342,合肥,银行卡,2025-06-16
8348777037,家居用品,台灯,2,138,昆明,微信支付,2025-06-24
9202676303,服装,T恤,8,167,福州,微信支付,2025-06-05
4084695631,服装,运动鞋,9,167,昆明,现金,2025-06-07
6697400912,服装,运动鞋,6,334,南京,银行卡,2025-06-29
4994718286,食品,坚果,6,122,北京,银行卡,2025-06-04
7156945492,图书,绘本,5,46,深圳,支付宝,2025-06-10
7293403733,图书,教材,9,315,青岛,支付宝,2025-06-05
2303883863,电子产品,充电宝,8,249,天津,微信支付,2025-06-13
5402341975,电子产品,充电宝,1,170,郑州,银行卡,2025-06-11
1227575895,服装,运动鞋,4,209,北京,支付宝,2025-06-05
9891662423,图书,绘本,4,89,上海,银行卡,2025-06-27
2809627227,食品,坚果,10,181,深圳,现金,2025-06-26
1829210716,图书,漫画,9,380,福州,支付宝,2025-06-13
9460752987,服装,运动鞋,10,71,北京,银行卡,2025-06-21
1725409885,图书,小说,2,192,上海,支付宝,2025-06-30
7002933856,服装,牛仔裤,6,7,福州,银行卡,2025-06-26
1899481699,家居用品,台灯,2,190,杭州,微信支付,2025-06-21
2425010788,电子产品,智能音箱,7,6,昆明,现金,2025-06-15
4946098791,食品,牛奶,2,384,重庆,现金,2025-06-26
8843883111,服装,运动鞋,8,373,深圳,支付宝,2025-06-28
9766142571,家居用品,枕头,2,247,南京,支付宝,2025-06-14
3370986091,服装,外套,4,348,天津,微信支付,2025-06-11
2367967857,图书,漫画,3,378,武汉,微信支付,2025-06-05
2936560241,电子产品,电动牙刷,7,284,昆明,银行卡,2025-06-12
9325351543,服装,牛仔裤,3,335,重庆,支付宝,2025-06-09
2246312568,电子产品,智能音箱,4,153,天津,银行卡,2025-06-02
2572014202,电子产品,鼠标,4,330,南京,现金,2025-06-03
6884571774,服装,T恤,1,249,合肥,现金,2025-06-15
1598972544,家居用品,台灯,1,231,合肥,微信支付,2025-06-11
8358464129,家居用品,枕头,8,283,北京,微信支付,2025-06-06
5459438210,图书,小说,3,167,成都,支付宝,2025-06-17
6649533058,家居用品,毯子,3,337,昆明,支付宝,2025-06-02
7849480836,服装,牛仔裤,4,57,成都,微信支付,2025-06-17
4003099268,食品,巧克力,4,271,广州,微信支付,2025-06-17
1063062152,家居用品,保温杯,2,196,北京,银行卡,2025-06-19
3655697033,食品,巧克力,2,343,武汉,现金,2025-06-27
9667715720,电子产品,智能音箱,1,241,广州,支付宝,2025-06-26
2374185616,家居用品,保温杯,6,98,合肥,支付宝,2025-06-29
8032600720,食品,巧克力,10,272,成都,现金,2025-06-05
5898535569,食品,海苔,2,244,昆明,银行卡,2025-06-13
5247720085,服装,运动鞋,8,129,北京,支付宝,2025-06-09
5397699228,食品,牛奶,2,128,福州,微信支付,2025-06-08
9226977951,图书,教材,1,149,北京,支付宝,2025-06-20
1414951585,服装,运动鞋,3,237,天津,银行卡,2025-06-23
1833360037,图书,小说,10,10,青岛,支付宝,2025-06-08
2157929128,食品,巧克力,3,195,重庆,支付宝,2025-06-24
6310607529,家居用品,毯子,7,53,北京,现金,2025-06-30
2379106987,食品,海苔,10,375,南京,银行卡,2025-06-26
2476382892,图书,教材,1,100,昆明,支付宝,2025-06-17
2196128427,图书,小说,6,142,重庆,微信支付,2025-06-16
9250529964,电子产品,电动牙刷,3,71,北京,银行卡,2025-06-24
2979484336,电子产品,充电宝,5,52,杭州,支付宝,2025-06-29
1584573105,服装,帽子,5,73,广州,现金,2025-06-10
4810689201,电子产品,智能音箱,10,257,昆明,现金,2025-06-17
8050711219,图书,小说,6,317,昆明,支付宝,2025-06-01
3624690354,电子产品,蓝牙耳机,8,195,杭州,现金,2025-06-10
6478998197,家居用品,保温杯,4,310,杭州,现金,2025-06-22
5536160440,家居用品,收纳盒,5,174,深圳,现金,2025-06-25
5487872697,家居用品,收纳盒,6,194,武汉,支付宝,2025-06-07
3943187133,服装,运动鞋,7,85,福州,微信支付,2025-06-07
3896179390,电子产品,电动牙刷,10,138,北京,支付宝,2025-06-07
9749105344,服装,外套,8,148,天津,微信支付,2025-06-28
4891146947,电子产品,充电宝,5,269,青岛,现金,2025-06-14
7154545350,电子产品,电动牙刷,1,24,广州,现金,2025-06-11
4633219783,食品,牛奶,4,204,北京,银行卡,2025-06-23
8106556105,家居用品,台灯,7,240,昆明,支付宝,2025-06-29
3742675660,食品,牛奶,8,394,成都,支付宝,2025-06-26
7460797137,家居用品,枕头,5,274,上海,微信支付,2025-06-04
8182360788,家居用品,保温杯,1,80,杭州,银行卡,2025-06-28
5925980885,电子产品,蓝牙耳机,7,44,上海,微信支付,2025-06-30
9912369876,图书,漫画,6,68,福州,现金,2025-06-05
9366637271,服装,牛仔裤,4,250,成都,现金,2025-06-18
6248981208,家居用品,保温杯,6,153,成都,现金,2025-06-20
1293662946,图书,漫画,4,74,天津,微信支付,2025-06-02
1750110946,家居用品,台灯,5,53,上海,银行卡,2025-06-01
1301920484,电子产品,鼠标,6,89,武汉,现金,2025-06-22
7490417378,电子产品,充电宝,10,348,合肥,微信支付,2025-06-05
3055147746,食品,牛奶,5,215,武汉,现金,2025-06-05
7481361129,家居用品,台灯,5,73,昆明,微信支付,2025-06-16
1435114218,图书,漫画,5,26,北京,微信支付,2025-06-26
7071996655,电子产品,充电宝,7,118,成都,微信支付,2025-06-24
1650307824,电子产品,充电宝,8,230,北京,银行卡,2025-06-25
7879328497,家居用品,保温杯,2,119,南京,银行卡,2025-06-27
1178297073,电子产品,鼠标,10,269,杭州,银行卡,2025-06-21
1983552243,食品,海苔,6,280,杭州,现金,2025-06-17
5128483575,家居用品,枕头,2,306,福州,现金,2025-06-08
4622498553,食品,坚果,5,179,福州,支付宝,2025-06-22
4604408570,图书,漫画,7,381,杭州,现金,2025-06-16
5730499323,服装,运动鞋,1,301,重庆,微信支付,2025-06-09
8773475068,食品,牛奶,7,299,北京,现金,2025-06-02
2311451389,家居用品,收纳盒,9,145,天津,微信支付,2025-06-02
8512645884,电子产品,鼠标,7,314,福州,现金,2025-06-27
2739176191,服装,牛仔裤,2,173,深圳,微信支付,2025-06-20
3262790399,电子产品,蓝牙耳机,3,12,重庆,微信支付,2025-06-04
9715888889,电子产品,充电宝,8,377,昆明,微信支付,2025-06-22
4255271682,电子产品,充电宝,7,6,武汉,银行卡,2025-06-30
9903624963,家居用品,台灯,9,308,福州,支付宝,2025-06-28
2915511038,食品,坚果,1,97,深圳,微信支付,2025-06-21
1523022597,服装,运动鞋,5,5,青岛,支付宝,2025-06-22
2088764166,食品,坚果,6,128,青岛,银行卡,2025-06-02
1118200583,图书,小说,7,33,杭州,微信支付,2025-06-29
2970168070,服装,帽子,8,21,重庆,现金,2025-06-20
4050711306,电子产品,鼠标,6,215,广州,支付宝,2025-06-02
7721542413,服装,牛仔裤,10,241,武汉,支付宝,2025-06-30
9799234317,电子产品,充电宝,8,360,天津,现金,2025-06-14
5582230287,家居用品,保温杯,10,284,青岛,现金,2025-06-12
2533925647,图书,杂志,10,268,福州,银行卡,2025-06-17
6320261905,服装,T恤,10,208,上海,支付宝,2025-06-06
5158046481,图书,绘本,2,228,郑州,微信支付,2025-06-01
8298203923,图书,漫画,7,189,重庆,银行卡,2025-06-22
1056598802,电子产品,鼠标,9,355,青岛,银行卡,2025-06-20
1310434069,服装,帽子,2,396,广州,现金,2025-06-23
7506502421,服装,牛仔裤,2,234,北京,现金,2025-06-30
3908633366,图书,小说,2,280,合肥,现金,2025-06-13
6662271764,食品,坚果,5,86,上海,支付宝,2025-06-14
3146031890,电子产品,电动牙刷,9,56,广州,微信支付,2025-06-23
6506242842,服装,外套,4,349,杭州,支付宝,2025-06-18
3843773208,电子产品,智能音箱,2,191,天津,支付宝,2025-06-18
9880548119,图书,杂志,6,145,广州,现金,2025-06-18
1773507353,家居用品,枕头,2,5,南京,微信支付,2025-06-21
5035256607,电子产品,鼠标,2,19,郑州,支付宝,2025-06-24
8505529122,家居用品,台灯,7,70,深圳,银行卡,2025-06-03
8136334117,服装,运动鞋,10,44,昆明,微信支付,2025-06-26
2100388648,电子产品,蓝牙耳机,1,323,南京,支付宝,2025-06-16
7450741545,服装,牛仔裤,8,197,广州,微信支付,2025-06-26
3577436970,图书,小说,1,301,成都,支付宝,2025-06-29
8221860650,图书,绘本,1,56,青岛,微信支付,2025-06-21
4842027819,图书,教材,5,342,郑州,微信支付,2025-06-17
7527203629,食品,饼干,8,248,南京,银行卡,2025-06-09
7613588272,服装,牛仔裤,6,160,昆明,现金,2025-06-26
5965888305,家居用品,台灯,10,185,成都,微信支付,2025-06-27
1872274226,食品,巧克力,7,297,天津,微信支付,2025-06-11
6092442420,电子产品,蓝牙耳机,8,264,南京,微信支付,2025-06-20
9178456889,图书,绘本,6,310,郑州,支付宝,2025-06-30
2404162364,电子产品,蓝牙耳机,4,52,深圳,支付宝,2025-06-24
4637995838,电子产品,智能音箱,3,211,福州,现金,2025-06-15
4231740225,家居用品,毯子,1,353,南京,现金,2025-06-25
2711061314,电子产品,蓝牙耳机,6,238,北京,微信支付,2025-06-11
3321373507,家居用品,保温杯,7,17,武汉,支付宝,2025-06-11
4552311623,家居用品,保温杯,4,126,北京,微信支付,2025-06-14
3004836683,服装,牛仔裤,10,151,合肥,银行卡,2025-06-23
3391007564,图书,漫画,2,153,合肥,银行卡,2025-06-28
6336176971,图书,漫画,6,100,福州,微信支付,2025-06-04
7893048149,图书,小说,9,122,广州,支付宝,2025-06-16
7531389781,图书,小说,4,143,南京,现金,2025-06-14
1404187484,电子产品,鼠标,5,53,南京,银行卡,2025-06-29
4237794143,电子产品,充电宝,3,200,青岛,微信支付,2025-06-03
7556510559,家居用品,毯子,4,113,合肥,现金,2025-06-07
1394226024,电子产品,智能音箱,8,248,重庆,银行卡,2025-06-23
5664211817,食品,海苔,6,118,合肥,支付宝,2025-06-28
9257313130,图书,漫画,6,377,郑州,现金,2025-06-27
7532448618,图书,小说,9,39,北京,微信支付,2025-06-13
7590433643,食品,牛奶,4,136,南京,支付宝,2025-06-15
1496310637,电子产品,电动牙刷,2,9,武汉,微信支付,2025-06-05
4402475887,电子产品,电动牙刷,5,218,杭州,现金,2025-06-14
2041912181,食品,巧克力,10,398,福州,支付宝,2025-06-18
1031883640,家居用品,毯子,9,280,北京,银行卡,2025-06-21
9068178296,家居用品,台灯,7,286,上海,微信支付,2025-06-19
1337504633,图书,教材,5,146,成都,支付宝,2025-06-15
