订单号,产品类别,产品名称,销售数量,单价,销售金额
2357029095,家居用品,收纳盒,9,18,162
4363659497,服装,运动鞋,2,1,2
9761698026,食品,牛奶,1,328,328
9521193195,食品,坚果,2,303,606
8833560815,图书,杂志,7,307,2149
7584588016,家居用品,保温杯,10,277,2770
1292505331,食品,巧克力,6,258,1548
2444351735,服装,帽子,10,110,1100
4292870392,电子产品,电动牙刷,8,179,1432
5283293433,电子产品,蓝牙耳机,10,125,1250
7320387833,图书,小说,3,34,102
1419536632,电子产品,充电宝,6,175,1050
9195426044,食品,饼干,6,198,1188
1807726850,图书,杂志,7,380,2660
6636685573,家居用品,枕头,7,189,1323
7562703111,食品,坚果,4,282,1128
9582975246,图书,教材,3,294,882
1780379919,食品,牛奶,6,47,282
1181354256,服装,牛仔裤,2,146,292
3027714320,图书,漫画,1,347,347
6043814170,图书,小说,10,22,220
9667053853,服装,运动鞋,1,386,386
6549365024,家居用品,枕头,6,286,1716
7178580257,食品,饼干,3,179,537
3204561187,食品,牛奶,9,357,3213
7464126755,图书,绘本,1,130,130
1664340261,电子产品,充电宝,5,250,1250
5745328422,家居用品,枕头,2,353,706
5838477610,电子产品,电动牙刷,8,75,600
3678994733,电子产品,电动牙刷,10,133,1330
1335224623,图书,漫画,1,260,260
9126461747,电子产品,智能音箱,1,95,95
5297066296,食品,巧克力,5,222,1110
2045849913,图书,小说,3,347,1041
4028164410,图书,绘本,9,55,495
8138352955,家居用品,毯子,9,381,3429
7101364539,图书,绘本,5,42,210
9852905785,家居用品,枕头,1,172,172
3005792574,食品,海苔,8,255,2040
2027637055,图书,小说,10,366,3660
1875556664,电子产品,蓝牙耳机,8,122,976
5135221057,服装,外套,3,330,990
1363372354,食品,巧克力,9,34,306
4895295810,家居用品,毯子,4,34,136
8044038466,服装,帽子,8,10,80
7176040773,服装,牛仔裤,8,170,1360
2505902405,图书,教材,7,386,2702
3102505278,服装,帽子,4,67,268
1178534215,图书,小说,6,250,1500
9255717193,图书,杂志,10,397,3970
9335980365,服装,牛仔裤,8,195,1560
1298473294,服装,T恤,6,227,1362
1827580238,家居用品,保温杯,10,111,1110
7437732174,服装,运动鞋,3,204,612
9154984274,家居用品,枕头,6,221,1326
2203937109,图书,小说,5,290,1450
1055420760,家居用品,收纳盒,1,229,229
9476665698,电子产品,电动牙刷,8,267,2136
4601188710,服装,T恤,3,69,207
1884840294,食品,海苔,2,86,172
6580549990,电子产品,电动牙刷,10,9,90
2244997481,家居用品,保温杯,6,293,1758
9507111273,家居用品,毯子,5,84,420
8225206635,家居用品,台灯,7,163,1141
4314050920,电子产品,蓝牙耳机,5,296,1480
1931233649,家居用品,收纳盒,6,255,1530
3238148468,家居用品,毯子,3,216,648
1790691701,图书,杂志,8,152,1216
8811192696,电子产品,充电宝,7,143,1001
1446027640,食品,海苔,9,182,1638
9261261178,家居用品,毯子,7,24,168
5859297660,图书,教材,7,353,2471
2828159360,图书,绘本,1,264,264
5787632001,图书,绘本,6,86,516
4916935045,食品,巧克力,9,249,2241
2306550149,家居用品,毯子,7,125,875
9979799941,图书,杂志,3,173,519
7004998024,图书,杂志,6,58,348
6445691274,食品,饼干,10,312,3120
8734591372,食品,饼干,6,399,2394
5642404239,食品,巧克力,5,83,415
6579855762,图书,小说,10,342,3420
8985690518,电子产品,蓝牙耳机,10,380,3800
7781996951,食品,饼干,6,136,816
1510392216,服装,运动鞋,1,37,37
7742773654,家居用品,枕头,3,156,468
7068287386,家居用品,枕头,4,31,124
6656270747,家居用品,收纳盒,10,165,1650
9045907870,家居用品,台灯,4,356,1424
1208662433,服装,运动鞋,1,89,89
2578237858,服装,T恤,9,124,1116
1898899879,食品,牛奶,10,295,2950
6085966250,食品,坚果,6,67,402
9581347243,电子产品,充电宝,3,194,582
7741335986,家居用品,毯子,3,358,1074
2980137394,食品,饼干,9,95,855
9094390205,服装,帽子,1,208,208
1371908542,服装,帽子,6,251,1506
7564734910,电子产品,智能音箱,7,125,875
6483243456,电子产品,电动牙刷,2,350,700
9610324414,食品,坚果,1,175,175
3589988804,图书,小说,8,254,2032
5054251461,服装,外套,7,295,2065
9946612166,电子产品,智能音箱,10,226,2260
7639142855,电子产品,智能音箱,6,160,960
7320265157,家居用品,台灯,10,20,200
6656326092,家居用品,台灯,10,80,800
2767456717,图书,漫画,5,144,720
1489174990,电子产品,蓝牙耳机,10,152,1520
6902544847,食品,坚果,7,74,518
2147510736,食品,海苔,4,365,1460
5315199439,家居用品,台灯,8,264,2112
1874018772,电子产品,充电宝,6,45,270
4077803989,家居用品,毯子,3,376,1128
8398416340,服装,牛仔裤,5,226,1130
5802594774,图书,漫画,6,268,1608
7248237014,食品,海苔,9,7,63
7611965910,电子产品,蓝牙耳机,9,251,2259
5887404506,食品,巧克力,5,134,670
9375973846,服装,帽子,9,5,45
5001615836,服装,T恤,1,207,207
8752880084,图书,杂志,2,314,628
2464872928,服装,帽子,6,5,30
5404707302,食品,饼干,8,25,200
9996016102,家居用品,枕头,2,102,204
3706403304,服装,帽子,4,96,384
5647067624,电子产品,电动牙刷,7,49,343
1350515178,电子产品,充电宝,2,142,284
6052819448,家居用品,台灯,6,221,1326
4472562170,图书,绘本,1,303,303
1565458939,家居用品,收纳盒,10,119,1190
5901052412,电子产品,充电宝,6,8,48
3095941629,家居用品,毯子,10,379,3790
2878908926,电子产品,蓝牙耳机,2,114,228
1634388479,电子产品,蓝牙耳机,6,283,1698
6166178306,电子产品,电动牙刷,2,92,184
5379119619,食品,海苔,3,356,1068
4358199815,服装,T恤,1,5,5
1344236042,食品,巧克力,2,13,26
4285049355,图书,漫画,10,103,1030
3610886667,食品,牛奶,5,110,550
5080218127,电子产品,充电宝,7,12,84
8135354896,服装,帽子,7,396,2772
3615855121,食品,巧克力,8,277,2216
9163229712,电子产品,充电宝,6,35,210
9033714193,家居用品,枕头,10,161,1610
6281974293,电子产品,充电宝,7,90,630
7652610592,食品,坚果,8,117,936
5064901154,食品,海苔,6,36,216
4572617251,食品,巧克力,10,60,600
1647297060,食品,牛奶,9,98,882
3844074020,家居用品,收纳盒,10,379,3790
6083850790,电子产品,电动牙刷,9,71,639
8302492199,图书,杂志,10,110,1100
8988045860,食品,坚果,1,190,190
2947879468,服装,T恤,8,120,960
6924425773,服装,外套,10,37,370
6144160301,电子产品,鼠标,4,348,1392
4944108079,服装,帽子,9,296,2664
3750400560,服装,牛仔裤,4,331,1324
7242975794,图书,小说,9,57,513
5681195573,图书,绘本,6,186,1116
9647438390,家居用品,台灯,7,81,567
8100065845,服装,运动鞋,10,346,3460
3838831162,家居用品,收纳盒,4,60,240
2573908543,家居用品,台灯,2,79,158
9706588737,图书,漫画,5,291,1455
8734206530,图书,小说,8,169,1352
1630124611,食品,牛奶,3,181,543
4667832902,家居用品,保温杯,6,103,618
6619869768,图书,杂志,7,363,2541
1743956554,服装,T恤,1,390,390
5094724172,电子产品,蓝牙耳机,1,31,31
4126554701,服装,T恤,4,342,1368
8348777037,家居用品,台灯,2,138,276
9202676303,服装,T恤,8,167,1336
4084695631,服装,运动鞋,9,167,1503
6697400912,服装,运动鞋,6,334,2004
4994718286,食品,坚果,6,122,732
7156945492,图书,绘本,5,46,230
7293403733,图书,教材,9,315,2835
2303883863,电子产品,充电宝,8,249,1992
5402341975,电子产品,充电宝,1,170,170
1227575895,服装,运动鞋,4,209,836
9891662423,图书,绘本,4,89,356
2809627227,食品,坚果,10,181,1810
1829210716,图书,漫画,9,380,3420
9460752987,服装,运动鞋,10,71,710
1725409885,图书,小说,2,192,384
7002933856,服装,牛仔裤,6,7,42
1899481699,家居用品,台灯,2,190,380
2425010788,电子产品,智能音箱,7,6,42
4946098791,食品,牛奶,2,384,768
8843883111,服装,运动鞋,8,373,2984
9766142571,家居用品,枕头,2,247,494
3370986091,服装,外套,4,348,1392
2367967857,图书,漫画,3,378,1134
2936560241,电子产品,电动牙刷,7,284,1988
9325351543,服装,牛仔裤,3,335,1005
2246312568,电子产品,智能音箱,4,153,612
2572014202,电子产品,鼠标,4,330,1320
6884571774,服装,T恤,1,249,249
1598972544,家居用品,台灯,1,231,231
8358464129,家居用品,枕头,8,283,2264
5459438210,图书,小说,3,167,501
6649533058,家居用品,毯子,3,337,1011
7849480836,服装,牛仔裤,4,57,228
4003099268,食品,巧克力,4,271,1084
1063062152,家居用品,保温杯,2,196,392
3655697033,食品,巧克力,2,343,686
9667715720,电子产品,智能音箱,1,241,241
2374185616,家居用品,保温杯,6,98,588
8032600720,食品,巧克力,10,272,2720
5898535569,食品,海苔,2,244,488
5247720085,服装,运动鞋,8,129,1032
5397699228,食品,牛奶,2,128,256
9226977951,图书,教材,1,149,149
1414951585,服装,运动鞋,3,237,711
1833360037,图书,小说,10,10,100
2157929128,食品,巧克力,3,195,585
6310607529,家居用品,毯子,7,53,371
2379106987,食品,海苔,10,375,3750
2476382892,图书,教材,1,100,100
2196128427,图书,小说,6,142,852
9250529964,电子产品,电动牙刷,3,71,213
2979484336,电子产品,充电宝,5,52,260
1584573105,服装,帽子,5,73,365
4810689201,电子产品,智能音箱,10,257,2570
8050711219,图书,小说,6,317,1902
3624690354,电子产品,蓝牙耳机,8,195,1560
6478998197,家居用品,保温杯,4,310,1240
5536160440,家居用品,收纳盒,5,174,870
5487872697,家居用品,收纳盒,6,194,1164
3943187133,服装,运动鞋,7,85,595
3896179390,电子产品,电动牙刷,10,138,1380
9749105344,服装,外套,8,148,1184
4891146947,电子产品,充电宝,5,269,1345
7154545350,电子产品,电动牙刷,1,24,24
4633219783,食品,牛奶,4,204,816
8106556105,家居用品,台灯,7,240,1680
3742675660,食品,牛奶,8,394,3152
7460797137,家居用品,枕头,5,274,1370
8182360788,家居用品,保温杯,1,80,80
5925980885,电子产品,蓝牙耳机,7,44,308
9912369876,图书,漫画,6,68,408
9366637271,服装,牛仔裤,4,250,1000
6248981208,家居用品,保温杯,6,153,918
1293662946,图书,漫画,4,74,296
1750110946,家居用品,台灯,5,53,265
1301920484,电子产品,鼠标,6,89,534
7490417378,电子产品,充电宝,10,348,3480
3055147746,食品,牛奶,5,215,1075
7481361129,家居用品,台灯,5,73,365
1435114218,图书,漫画,5,26,130
7071996655,电子产品,充电宝,7,118,826
1650307824,电子产品,充电宝,8,230,1840
7879328497,家居用品,保温杯,2,119,238
1178297073,电子产品,鼠标,10,269,2690
1983552243,食品,海苔,6,280,1680
5128483575,家居用品,枕头,2,306,612
4622498553,食品,坚果,5,179,895
4604408570,图书,漫画,7,381,2667
5730499323,服装,运动鞋,1,301,301
8773475068,食品,牛奶,7,299,2093
2311451389,家居用品,收纳盒,9,145,1305
8512645884,电子产品,鼠标,7,314,2198
2739176191,服装,牛仔裤,2,173,346
3262790399,电子产品,蓝牙耳机,3,12,36
9715888889,电子产品,充电宝,8,377,3016
4255271682,电子产品,充电宝,7,6,42
9903624963,家居用品,台灯,9,308,2772
2915511038,食品,坚果,1,97,97
1523022597,服装,运动鞋,5,5,25
2088764166,食品,坚果,6,128,768
1118200583,图书,小说,7,33,231
2970168070,服装,帽子,8,21,168
4050711306,电子产品,鼠标,6,215,1290
7721542413,服装,牛仔裤,10,241,2410
9799234317,电子产品,充电宝,8,360,2880
5582230287,家居用品,保温杯,10,284,2840
2533925647,图书,杂志,10,268,2680
6320261905,服装,T恤,10,208,2080
5158046481,图书,绘本,2,228,456
8298203923,图书,漫画,7,189,1323
1056598802,电子产品,鼠标,9,355,3195
1310434069,服装,帽子,2,396,792
7506502421,服装,牛仔裤,2,234,468
3908633366,图书,小说,2,280,560
6662271764,食品,坚果,5,86,430
3146031890,电子产品,电动牙刷,9,56,504
6506242842,服装,外套,4,349,1396
3843773208,电子产品,智能音箱,2,191,382
9880548119,图书,杂志,6,145,870
1773507353,家居用品,枕头,2,5,10
5035256607,电子产品,鼠标,2,19,38
8505529122,家居用品,台灯,7,70,490
8136334117,服装,运动鞋,10,44,440
2100388648,电子产品,蓝牙耳机,1,323,323
7450741545,服装,牛仔裤,8,197,1576
3577436970,图书,小说,1,301,301
8221860650,图书,绘本,1,56,56
4842027819,图书,教材,5,342,1710
7527203629,食品,饼干,8,248,1984
7613588272,服装,牛仔裤,6,160,960
5965888305,家居用品,台灯,10,185,1850
1872274226,食品,巧克力,7,297,2079
6092442420,电子产品,蓝牙耳机,8,264,2112
9178456889,图书,绘本,6,310,1860
2404162364,电子产品,蓝牙耳机,4,52,208
4637995838,电子产品,智能音箱,3,211,633
4231740225,家居用品,毯子,1,353,353
2711061314,电子产品,蓝牙耳机,6,238,1428
3321373507,家居用品,保温杯,7,17,119
4552311623,家居用品,保温杯,4,126,504
3004836683,服装,牛仔裤,10,151,1510
3391007564,图书,漫画,2,153,306
6336176971,图书,漫画,6,100,600
7893048149,图书,小说,9,122,1098
7531389781,图书,小说,4,143,572
1404187484,电子产品,鼠标,5,53,265
4237794143,电子产品,充电宝,3,200,600
7556510559,家居用品,毯子,4,113,452
1394226024,电子产品,智能音箱,8,248,1984
5664211817,食品,海苔,6,118,708
9257313130,图书,漫画,6,377,2262
7532448618,图书,小说,9,39,351
7590433643,食品,牛奶,4,136,544
1496310637,电子产品,电动牙刷,2,9,18
4402475887,电子产品,电动牙刷,5,218,1090
2041912181,食品,巧克力,10,398,3980
1031883640,家居用品,毯子,9,280,2520
9068178296,家居用品,台灯,7,286,2002
1337504633,图书,教材,5,146,730
3549471611,食品,饼干,9,344,3096
1120023421,食品,海苔,5,97,485
5273416575,服装,运动鞋,7,161,1127
1383830400,服装,牛仔裤,7,238,1666
5533152127,食品,饼干,5,357,1785
8718248833,家居用品,台灯,6,309,1854
7689317251,食品,饼干,1,140,140
7987592068,电子产品,充电宝,7,279,1953
4321047429,家居用品,收纳盒,4,321,1284
5383144328,服装,T恤,10,348,3480
3680285578,电子产品,蓝牙耳机,10,265,2650
4503448461,电子产品,电动牙刷,1,285,285
5366377358,服装,T恤,8,248,1984
7211064208,服装,牛仔裤,9,41,369
4920642449,家居用品,保温杯,3,17,51
6007841682,服装,T恤,3,295,885
6250386320,图书,绘本,5,360,1800
9169374096,食品,巧克力,1,199,199
7551169429,食品,巧克力,10,339,3390
3334296464,服装,T恤,5,159,795
1161292691,电子产品,鼠标,8,167,1336
1191717785,家居用品,毯子,3,140,420
3105387418,电子产品,充电宝,8,241,1928
1744229273,图书,小说,2,280,560
5799314329,图书,教材,6,192,1152
7527392156,食品,饼干,4,259,1036
2169582493,图书,小说,5,93,465
3194608545,家居用品,枕头,4,52,208
3709404066,食品,牛奶,4,12,48
5514601378,家居用品,保温杯,7,213,1491
3620711333,食品,牛奶,4,24,96
8694412200,服装,牛仔裤,3,264,792
2398358441,食品,饼干,8,376,3008
4435545009,食品,饼干,2,237,474
6554440625,食品,巧克力,9,259,2331
9174879154,服装,外套,1,223,223
9181289397,服装,外套,7,251,1757
9541950397,图书,漫画,7,211,1477
3878917054,电子产品,智能音箱,9,345,3105
1103422399,电子产品,鼠标,8,299,2392
2501508032,服装,牛仔裤,7,367,2569
6194398144,食品,牛奶,10,11,110
4663837631,电子产品,智能音箱,1,8,8
3533671359,图书,绘本,3,214,642
4046175168,家居用品,收纳盒,6,265,1590
4401626049,电子产品,充电宝,4,352,1408
1226464203,电子产品,充电宝,9,63,567
1436140491,家居用品,收纳盒,8,303,2424
1290470349,图书,绘本,9,134,1206
1206457296,电子产品,蓝牙耳机,1,310,310
7667231697,电子产品,智能音箱,10,312,3120
8034831314,食品,海苔,2,239,478
2055578580,服装,牛仔裤,3,151,453
8285633493,服装,运动鞋,4,155,620
5737065430,家居用品,台灯,7,211,1477
9910666201,食品,牛奶,10,323,3230
6603054044,电子产品,充电宝,2,200,400
7554524125,电子产品,充电宝,4,160,640
2321081308,电子产品,充电宝,5,194,970
6117999584,家居用品,台灯,9,255,2295
4146998246,服装,外套,7,373,2611
6164323305,图书,绘本,9,64,576
6282392554,食品,饼干,6,352,2112
2033304555,家居用品,枕头,6,131,786
2255588329,电子产品,鼠标,4,104,416
7323167726,食品,巧克力,5,31,155
1800649711,服装,T恤,7,229,1603
8318544883,食品,巧克力,3,258,774
7452285940,食品,牛奶,7,91,637
7293938676,家居用品,毯子,7,143,1001
2800554998,图书,教材,7,125,875
6288374774,电子产品,鼠标,9,122,1098
9500468216,电子产品,智能音箱,1,76,76
3444022262,家居用品,毯子,9,16,144
3946951678,图书,漫画,7,160,1120
6084197375,图书,教材,3,60,180
4268547071,电子产品,电动牙刷,9,299,2691
8575960064,食品,牛奶,10,14,140
8137800706,服装,T恤,6,305,1830
5912359940,食品,坚果,5,167,835
9453755398,电子产品,充电宝,9,329,2961
6613767176,家居用品,台灯,8,145,1160
5460870159,家居用品,台灯,7,256,1792
4009612306,家居用品,保温杯,8,236,1888
2436828179,电子产品,电动牙刷,4,107,428
3252790293,食品,海苔,3,230,690
9543484438,电子产品,智能音箱,9,135,1215
2089954328,服装,帽子,8,226,1808
1618877465,图书,绘本,1,17,17
1197263899,食品,坚果,1,267,267
8209206302,服装,外套,8,12,96
1668359204,图书,教材,5,7,35
5236519973,家居用品,收纳盒,2,271,542
4696792102,家居用品,台灯,9,189,1701
1739191336,电子产品,电动牙刷,5,213,1065
1262298154,家居用品,台灯,3,317,951
2905551915,电子产品,电动牙刷,3,91,273
1736088620,图书,漫画,10,181,1810
4918912043,图书,漫画,1,8,8
5034218542,图书,漫画,10,377,3770
6802543664,食品,巧克力,8,337,2696
5307751473,服装,帽子,5,202,1010
5151751225,图书,绘本,1,187,187
6651546686,家居用品,保温杯,10,244,2440
2549951554,电子产品,蓝牙耳机,7,141,987
5685996612,服装,帽子,3,314,942
1690514503,家居用品,保温杯,5,232,1160
4403369032,电子产品,充电宝,9,385,3465
4617024584,家居用品,台灯,5,70,350
5998867530,家居用品,收纳盒,5,229,1145
9011713100,食品,坚果,6,29,174
2563972176,图书,漫画,3,101,303
9590248531,电子产品,蓝牙耳机,4,327,1308
8313541715,电子产品,鼠标,6,229,1374
2627841111,食品,饼干,9,160,1440
6229371992,家居用品,收纳盒,3,366,1098
4846988379,食品,坚果,10,65,650
6105951324,食品,饼干,7,298,2086
3996898398,图书,漫画,6,175,1050
9459919968,服装,帽子,9,155,1395
4135298145,食品,巧克力,10,3,30
2513421410,服装,外套,9,292,2628
1346339938,图书,杂志,4,5,20
4105903204,图书,教材,9,338,3042
8437697637,家居用品,毯子,8,387,3096
2419852390,家居用品,台灯,7,36,252
1772022882,服装,T恤,10,191,1910
7911724138,家居用品,台灯,5,32,160
8788933741,电子产品,智能音箱,4,296,1184
6291700847,服装,T恤,4,347,1388
7921810545,服装,外套,3,185,555
1014342770,家居用品,台灯,3,49,147
9018377335,服装,牛仔裤,3,30,90
2655624315,图书,杂志,3,63,189
1766734972,食品,巧克力,4,377,1508
5981895804,电子产品,充电宝,5,356,1780
5734800508,服装,运动鞋,6,358,2148
1549241473,服装,运动鞋,1,17,17
9211628673,电子产品,蓝牙耳机,3,305,915
7425315971,家居用品,毯子,10,350,3500
5707838597,食品,巧克力,2,392,784
5667042438,家居用品,台灯,5,190,950
1981731974,图书,漫画,8,128,1024
1086854277,家居用品,毯子,7,11,77
9633985673,图书,教材,1,333,333
1210350726,服装,牛仔裤,7,227,1589
7747746955,食品,巧克力,8,301,2408
7333110924,服装,运动鞋,6,394,2364
2396615821,服装,运动鞋,5,254,1270
7826353294,食品,饼干,8,194,1552
7563871366,电子产品,电动牙刷,6,107,642
9316715670,图书,绘本,2,347,694
6341940375,食品,牛奶,4,107,428
3463974044,电子产品,鼠标,3,122,366
7081061534,电子产品,鼠标,10,152,1520
4298273951,图书,漫画,6,174,1044
6680722593,家居用品,枕头,8,61,488
1480432805,食品,海苔,1,372,372
7470843046,家居用品,枕头,10,127,1270
8956970150,家居用品,枕头,7,214,1498
5958620333,服装,T恤,5,111,555
4780186800,食品,巧克力,6,343,2058
6424837300,图书,小说,7,152,1064
2718033082,食品,巧克力,2,346,692
7124880573,电子产品,蓝牙耳机,4,334,1336
4583062717,家居用品,毯子,10,157,1570
9158077630,图书,教材,8,11,88
3509726400,食品,饼干,7,139,973
9381795006,家居用品,收纳盒,10,199,1990
6376981696,电子产品,充电宝,1,144,144
8523916482,食品,饼干,7,342,2394
9798937800,电子产品,智能音箱,4,160,640
8372427977,食品,饼干,7,359,2513
8315628745,服装,帽子,1,392,392
7066672334,电子产品,电动牙刷,7,325,2275
5059808463,电子产品,电动牙刷,7,353,2471
8478098640,电子产品,蓝牙耳机,10,224,2240
7655079122,食品,巧克力,3,151,453
7652601044,食品,坚果,3,164,492
5927423191,电子产品,充电宝,4,217,868
9855202521,服装,T恤,6,356,2136
3007732955,食品,牛奶,5,259,1295
2691499237,家居用品,台灯,6,245,1470
1145584869,食品,牛奶,2,208,416
1245091046,食品,饼干,9,260,2340
1123073257,家居用品,收纳盒,7,49,343
2955238634,电子产品,电动牙刷,5,249,1245
8186488044,食品,饼干,6,160,960
6027867377,服装,T恤,5,227,1135
1173263604,食品,坚果,2,103,206
1788794101,电子产品,电动牙刷,9,369,3321
7294260470,食品,坚果,10,28,280
7129486584,电子产品,智能音箱,3,244,732
7964505337,服装,运动鞋,4,294,1176
2246233336,家居用品,收纳盒,5,255,1275
7826253051,电子产品,鼠标,2,114,228
3716125946,家居用品,枕头,7,137,959
4493929722,服装,外套,2,238,476
5206332674,图书,小说,6,19,114
7389097221,电子产品,电动牙刷,3,248,744
8698373381,服装,运动鞋,9,117,1053
5207129351,图书,杂志,2,8,16
5953645829,服装,T恤,1,85,85
3546008837,图书,教材,6,394,2364
6995991818,电子产品,充电宝,6,215,1290
4282533130,服装,帽子,2,110,220
2967870730,家居用品,枕头,2,172,344
6832979208,服装,帽子,5,292,1460
9759141136,食品,饼干,3,172,516
7191883026,食品,牛奶,2,338,676
8448050451,食品,巧克力,8,197,1576
4700456211,服装,牛仔裤,6,58,348
2676073749,食品,坚果,9,187,1683
5831867667,服装,T恤,2,147,294
4999505176,图书,漫画,4,96,384
8386850075,食品,饼干,1,78,78
3742885148,电子产品,蓝牙耳机,4,307,1228
2109607196,电子产品,充电宝,9,156,1404
4812387617,服装,牛仔裤,10,240,2400
9369085218,图书,漫画,5,203,1015
8261283107,家居用品,保温杯,5,65,325
5969288488,服装,T恤,7,362,2534
6645792043,服装,运动鞋,3,123,369
6393509168,图书,教材,9,100,900
5124820273,家居用品,保温杯,10,211,2110
1985080626,家居用品,收纳盒,2,11,22
5483296049,食品,牛奶,5,114,570
5187052854,家居用品,台灯,8,93,744
5400438071,家居用品,台灯,3,181,543
5471532342,服装,帽子,8,85,680
3118482746,电子产品,充电宝,9,177,1593
2406446402,家居用品,保温杯,6,269,1614
7965719880,服装,外套,3,117,351
8253687116,图书,教材,6,47,282
6103567692,家居用品,枕头,7,107,749
3466700109,电子产品,电动牙刷,5,301,1505
1235666255,食品,饼干,4,16,64
3278472530,家居用品,毯子,8,98,784
3826201940,图书,绘本,2,359,718
4448664920,服装,运动鞋,9,262,2358
2406171997,食品,坚果,2,9,18
4057396573,服装,外套,5,393,1965
9625042271,食品,海苔,8,289,2312
2902560096,食品,海苔,8,361,2888
8040217953,家居用品,毯子,4,125,500
5424825693,家居用品,台灯,8,207,1656
6482099558,电子产品,充电宝,6,57,342
1043705192,家居用品,毯子,4,304,1216
5798055272,图书,漫画,4,112,448
3648619890,服装,帽子,7,289,2023
2369860979,电子产品,电动牙刷,9,235,2115
9008407922,图书,教材,10,291,2910
5730282870,服装,帽子,4,347,1388
4742499703,食品,饼干,6,41,246
9720989048,食品,巧克力,4,240,960
5788562809,电子产品,鼠标,2,193,386
5977609596,电子产品,智能音箱,10,51,510
7152207228,图书,漫画,9,334,3006
8413257089,服装,帽子,10,371,3710
5406039426,服装,牛仔裤,7,270,1890
4103910791,家居用品,台灯,3,8,24
2117055880,服装,运动鞋,7,264,1848
5575818632,图书,教材,4,271,1084
3001937294,图书,漫画,1,294,294
2223775119,家居用品,毯子,1,40,40
4988999056,电子产品,鼠标,10,354,3540
6801096083,家居用品,毯子,1,262,262
